"AD_TOTAL"	"AD_UP"	"AD_DOWN"	"earlyPD_TOTAL"	"earlyPD_UP"	"earlyPD_DOWN"	"MCI_TOTAL"	"MCI_UP"	"MCI_DOWN"	"MS_TOTAL"	"MS_UP"	"MS_DOWN"	"PD_TOTAL"	"PD_UP"	"PD_DOWN"	"rrMS_TOTAL"	"rrMS_UP"	"rrMS_DOWN"	"spMS_TOTAL"	"spMS_UP"	"spMS_DOWN"	"Sexmale_TOTAL"	"Sexmale_UP"	"Sexmale_DOWN"	"Age_TOTAL"	"Age_UP"	"Age_DOWN"
"TP53TG3"	"TP53TG3"	"MAGEA3"	"RNF183"	"RNF183"	"TMEM18"																					
"TRIM52"	"TRIM52"	"C19orf73"	"AQP7"	"AQP7"	"FHIP2A"																					
"CMTM4"	"CMTM4"	"VPS52"	"STOML2"	"STOML2"	"ASAP2"																					
"SPRR4"	"SPRR4"	"FAM133B"	"PGM2L1"	"PGM2L1"	"CENPU"																					
"CMSS1"	"CMSS1"	"JRK"	"PHYHIPL"	"PHYHIPL"	"CACUL1"																					
"H2AC20"	"H2AC20"	"KRTAP13-3"	"GJB2"	"GJB2"	"BAG3"																					
"H2AC21"	"H2AC21"	"ARHGDIG"	"LRR1"	"LRR1"	"KCNE4"																					
"SRPK3"	"SRPK3"	"TCP10L"	"ZNF22"	"ZNF22"	"FAM168B"																					
"SPATA32"	"SPATA32"	"NAA80"	"RPUSD4"	"RPUSD4"	"HAUS1"																					
"CEND1"	"CEND1"	"ACY1"	"SSX5"	"SSX5"	"ARK2N"																					
"H2BC21"	"H2BC21"	"DBNDD2"	"FAAH2"	"FAAH2"	"CWF19L2"																					
"RNLS"	"RNLS"	"ASPRV1"	"ARHGEF40"	"ARHGEF40"	"CAMK4"																					
"ATL3"	"ATL3"	"PDCD6"	"ZFYVE1"	"ZFYVE1"	"DDX4"																					
"SDR42E1"	"SDR42E1"	"CDK3"	"ARL5B"	"ARL5B"	"RASGRP3"																					
"TCEAL2"	"TCEAL2"	"DCANP1"	"RPUSD2"	"RPUSD2"	"CPB1"																					
"TMEM106A"	"TMEM106A"	"POLG2"	"C16orf78"	"C16orf78"	"CARHSP1"																					
"SIVA1"	"SIVA1"	"SRSF8"	"BTRC"	"BTRC"	"BCL2L11"																					
"AP3M1"	"AP3M1"	"TIMM23"	"POLL"	"POLL"	"MERTK"																					
"RPS27L"	"RPS27L"	"CGB1"	"COX11"	"COX11"	"SLC25A27"																					
"ADSS1"	"ADSS1"	"RASL10B"	"TRIM44"	"TRIM44"	"RPIA"																					
"CIMIP4"	"CIMIP4"	"DUSP14"	"ILK"	"ILK"	"LURAP1L"																					
"SP140L"	"SP140L"		"CYB5A"	"CYB5A"	"CFDP1"																					
"IFNLR1"	"IFNLR1"		"LMO1"	"LMO1"	"PPP2R5E"																					
"PRKG1"	"PRKG1"		"BLCAP"	"BLCAP"	"C16orf74"																					
"KRT79"	"KRT79"		"BMERB1"	"BMERB1"	"CEP112"																					
"DRG1"	"DRG1"		"YPEL4"	"YPEL4"	"TRIM11"																					
"ATP6V0C"	"ATP6V0C"		"FAM111A"	"FAM111A"	"TMSB4Y"																					
"RNPC3"	"RNPC3"		"C18orf54"	"C18orf54"	"JAM2"																					
"NDUFA13"	"NDUFA13"		"PLK1"	"PLK1"	"ATP5PF"																					
"AIDA"	"AIDA"		"PATL1"	"PATL1"	"DPH3"																					
"PRELID2"	"PRELID2"		"MRPL16"	"MRPL16"	"OXNAD1"																					
"ANKRD37"	"ANKRD37"		"SMAD3"	"SMAD3"	"PLCL2"																					
"ZNF501"	"ZNF501"		"SNX20"	"SNX20"	"ZFYVE27"																					
"SPIN2B"	"SPIN2B"		"POP5"	"POP5"	"PDZD9"																					
"RSBN1L"	"RSBN1L"		"VKORC1"	"VKORC1"	"HYCC2"																					
"MAGEH1"	"MAGEH1"		"TP53I13"	"TP53I13"	"TMEM237"																					
"TCEA1"	"TCEA1"		"TUBA1C"	"TUBA1C"	"RNF20"																					
"MCRS1"	"MCRS1"		"ZNF526"	"ZNF526"	"VBP1"																					
"IFNA2"	"IFNA2"		"KLK5"	"KLK5"	"PCGF6"																					
"S100A16"	"S100A16"		"CDK2AP2"	"CDK2AP2"	"SFR1"																					
"RBM34"	"RBM34"		"MRPL58"	"MRPL58"	"SAMD8"																					
"GJB3"	"GJB3"		"TMEM88"	"TMEM88"	"SEC13"																					
"S100A13"	"S100A13"		"MGAT5B"	"MGAT5B"	"NMNAT2"																					
"SPANXN4"	"SPANXN4"		"HOOK3"	"HOOK3"	"NECAP2"																					
"HMGB1"	"HMGB1"		"PTGDR"	"PTGDR"	"SSBP3"																					
"NCR1"	"NCR1"		"NKIRAS2"	"NKIRAS2"	"APPL1"																					
"GTF2IRD2"	"GTF2IRD2"		"FAM107A"	"FAM107A"	"TSC22D3"																					
"ADH7"	"ADH7"		"MOBP"	"MOBP"	"KCNJ15"																					
"WDR5"	"WDR5"		"DEGS2"	"DEGS2"	"ETS2"																					
"ASB13"	"ASB13"		"ARF4"	"ARF4"	"BRAF"																					
"SPANXD"	"SPANXD"		"RHOH"	"RHOH"	"DPYSL5"																					
"THEM5"	"THEM5"		"CDC40"	"CDC40"	"HPD"																					
"ADH1B"	"ADH1B"		"REEP4"	"REEP4"	"TMSB15A"																					
"WNK3"	"WNK3"		"PHYHIP"	"PHYHIP"	"CDC25C"																					
"HSH2D"	"HSH2D"		"CXXC4"	"CXXC4"	"MITD1"																					
"H2AC13"	"H2AC13"		"HTR1E"	"HTR1E"	"CPA5"																					
"ZNF239"	"ZNF239"		"CSNK1G1"	"CSNK1G1"	"PAGE5"																					
"MVB12B"	"MVB12B"		"CXCL11"	"CXCL11"	"USF1"																					
"WDR5B"	"WDR5B"		"ZRSR2"	"ZRSR2"	"DMTN"																					
"ZSCAN26"	"ZSCAN26"		"KCNAB1"	"KCNAB1"	"IFNGR2"																					
"GTF2E2"	"GTF2E2"		"PGM2"	"PGM2"	"LAD1"																					
"IL27"	"IL27"		"NPR1"	"NPR1"	"CBR1"																					
"ADARB1"	"ADARB1"		"CD52"	"CD52"	"CHAF1B"																					
"PARVA"	"PARVA"		"MMGT1"	"MMGT1"	"HLCS"																					
"RPS26"	"RPS26"		"SPRR1B"	"SPRR1B"	"PTMS"																					
"S100A10"	"S100A10"		"ZNF280A"	"ZNF280A"	"MED8"																					
"IRAK4"	"IRAK4"		"CNBP"	"CNBP"	"GPBP1L1"																					
"GRK6"	"GRK6"		"DUS1L"	"DUS1L"	"EFCAB14"																					
"RPL23A"	"RPL23A"		"HNRNPF"	"HNRNPF"	"ZFYVE28"																					
"KCNRG"	"KCNRG"		"PUSL1"	"PUSL1"	"ABR"																					
"SPANXC"	"SPANXC"		"TRAPPC1"	"TRAPPC1"	"CCDC107"																					
"C6orf89"	"C6orf89"		"TMEM182"	"TMEM182"	"DFFA"																					
"EIF1AY"	"EIF1AY"		"SPATA24"	"SPATA24"	"UBE2J2"																					
"CNOT7"	"CNOT7"		"ARL6IP1"	"ARL6IP1"	"PKNOX1"																					
"STKLD1"	"STKLD1"		"SIX2"	"SIX2"	"CSTB"																					
"GRK5"	"GRK5"		"POLH"	"POLH"	"S100B"																					
"PNMA5"	"PNMA5"		"SYT9"	"SYT9"	"PRMT2"																					
"PRMT6"	"PRMT6"		"TPD52L3"	"TPD52L3"	"CLDND2"																					
"APRT"	"APRT"		"TMEM43"	"TMEM43"	"CCDC12"																					
"AGER"	"AGER"		"RPS9"	"RPS9"	"ORAI2"																					
"NELFE"	"NELFE"		"CYTL1"	"CYTL1"	"MGAT4B"																					
"MCCD1"	"MCCD1"		"TRH"	"TRH"	"SCGB3A1"																					
"DHX16"	"DHX16"		"MBD3L1"	"MBD3L1"	"KASH5"																					
"ABCF1"	"ABCF1"		"ZNF160"	"ZNF160"	"JOSD2"																					
"TRIM40"	"TRIM40"		"GIMAP8"	"GIMAP8"	"SPC24"																					
"LGALS7"	"LGALS7"		"JAGN1"	"JAGN1"	"POLR3K"																					
"HTN3"	"HTN3"		"SOCS5"	"SOCS5"	"AMDHD2"																					
"SMIM11"	"SMIM11"		"CSN3"	"CSN3"	"ZG16B"																					
"UBD"	"UBD"		"CANT1"	"CANT1"	"RBP7"																					
"TOMM6"	"TOMM6"		"ZDHHC16"	"ZDHHC16"	"SNX7"																					
"MTCP1"	"MTCP1"		"CHST11"	"CHST11"	"AKNAD1"																					
"TBC1D26"	"TBC1D26"		"EXOSC1"	"EXOSC1"	"GBP4"																					
"GAGE12G"	"GAGE12G"		"ZNF581"	"ZNF581"	"DDR2"																					
"IFI30"	"IFI30"		"POLR1C"	"POLR1C"	"KLHDC9"																					
"TAFA5"	"TAFA5"		"PLRG1"	"PLRG1"	"TRIM17"																					
"AP4M1"	"AP4M1"		"TCEA2"	"TCEA2"	"MAIP1"																					
"ZNF880"	"ZNF880"		"FBXL14"	"FBXL14"	"NUP35"																					
"NOL7"	"NOL7"		"MRM3"	"MRM3"	"BNIPL"																					
"SPANXB1"	"SPANXB1"		"FRMD5"	"FRMD5"	"TMOD4"																					
"ACBD6"	"ACBD6"		"MOB3A"	"MOB3A"	"CDC42EP3"																					
"TMA7"	"TMA7"		"NME6"	"NME6"	"NIPAL1"																					
"MCTS1"	"MCTS1"		"ISG20"	"ISG20"	"TAFA4"																					
"IFNA13"	"IFNA13"		"SUCLG2"	"SUCLG2"	"LMOD1"																					
"RPS28"	"RPS28"		"CCL19"	"CCL19"	"NEK10"																					
"ZSCAN31"	"ZSCAN31"		"LRRC20"	"LRRC20"	"PPM1L"																					
"B3GALT4"	"B3GALT4"		"MUS81"	"MUS81"	"ICOS"																					
"KIFC1"	"KIFC1"		"RNASEH2C"	"RNASEH2C"	"RYBP"																					
"CASTOR1"	"CASTOR1"		"MRGPRF"	"MRGPRF"	"ERICH6"																					
"MIF"	"MIF"		"ADCK5"	"ADCK5"	"HESX1"																					
"CD302"	"CD302"		"ESRRA"	"ESRRA"	"CXCL3"																					
"ARFGAP3"	"ARFGAP3"		"COMMD1"	"COMMD1"	"SPDYA"																					
"C22orf39"	"C22orf39"		"PARP15"	"PARP15"	"KIAA1143"																					
"EIF6"	"EIF6"		"GLRX"	"GLRX"	"LZTFL1"																					
"MRPS6"	"MRPS6"		"TRIB1"	"TRIB1"	"ELP6"																					
"APOBEC3C"	"APOBEC3C"		"KCNK7"	"KCNK7"	"MEAF6"																					
"UBE2V1"	"UBE2V1"		"ZNF622"	"ZNF622"	"DNALI1"																					
"N4BP2L2"	"N4BP2L2"		"NABP1"	"NABP1"	"CAMK2N2"																					
"MARS2"	"MARS2"		"APOBEC4"	"APOBEC4"	"MELTF"																					
"PINX1"	"PINX1"		"EIF1AX"	"EIF1AX"	"EMCN"																					
"OMP"	"OMP"		"TOMM20"	"TOMM20"	"SLC9B2"																					
"OTUD7B"	"OTUD7B"		"CNP"	"CNP"	"BDH2"																					
"CSAG3"	"CSAG3"		"EIF1"	"EIF1"	"INTU"																					
"CT45A3"	"CT45A3"		"PLK3"	"PLK3"	"CAMKV"																					
"HEATR9"	"HEATR9"		"ATP5MK"	"ATP5MK"	"DUSP7"																					
"MUSTN1"	"MUSTN1"		"RBM4"	"RBM4"	"ANXA5"																					
"PCDHB16"	"PCDHB16"		"PHLDA3"	"PHLDA3"	"HPGD"																					
"TAF9"	"TAF9"		"MRPL11"	"MRPL11"	"NDUFAF2"																					
"H2BC17"	"H2BC17"		"ZNF266"	"ZNF266"	"PRRC1"																					
"H2BC9"	"H2BC9"		"TMEM167A"	"TMEM167A"	"CASP3"																					
"CCL3L3"	"CCL3L3"		"PABPC5"	"PABPC5"	"CSF2"																					
"H4C9"	"H4C9"		"ODAPH"	"ODAPH"	"FABP7"																					
"H2BC3"	"H2BC3"		"CNIH2"	"CNIH2"	"SFXN1"																					
"ZNF8"	"ZNF8"		"C3orf33"	"C3orf33"	"STK17A"																					
"PRRC2B"	"PRRC2B"		"SH3BP5L"	"SH3BP5L"	"RELL2"																					
"H2AC18"	"H2AC18"		"PHYHD1"	"PHYHD1"	"CDCA7L"																					
"GCLC"			"TBC1D10C"	"TBC1D10C"	"TAGAP"																					
