"AD_TOTAL"	"AD_UP"	"AD_DOWN"	"earlyPD_TOTAL"	"earlyPD_UP"	"earlyPD_DOWN"	"MCI_TOTAL"	"MCI_UP"	"MCI_DOWN"	"MS_TOTAL"	"MS_UP"	"MS_DOWN"	"PD_TOTAL"	"PD_UP"	"PD_DOWN"	"rrMS_TOTAL"	"rrMS_UP"	"rrMS_DOWN"	"spMS_TOTAL"	"spMS_UP"	"spMS_DOWN"	"Sexmale_TOTAL"	"Sexmale_UP"	"Sexmale_DOWN"	"Age_TOTAL"	"Age_UP"	"Age_DOWN"
"CIAPIN1"	"CIAPIN1"	"GCLC"	"KRIT1"	"KRIT1"	"LAP3"	"GSTO2"	"GSTO2"	"PFN2"	"M6PR"	"M6PR"	"FUZ"	"LAS1L"	"LAS1L"	"NDUFAF7"	"RECQL"	"RECQL"	"KRIT1"	"SCYL3"	"SCYL3"	"KRIT1"	"LASP1"	"LASP1"	"RHBDD2"	"HS3ST1"	"HS3ST1"	"IL32"
"MAP3K9"	"MAP3K9"	"HS3ST1"	"HS3ST1"	"HS3ST1"	"LASP1"	"IARS2"	"IARS2"	"JMJD6"	"PSMC4"	"PSMC4"	"COX15"	"CDKL3"	"CDKL3"	"MEOX1"	"CDKL5"	"CDKL5"	"TFPI"	"HCCS"	"HCCS"	"NDUFAF7"	"SH2D2A"	"SH2D2A"	"PEX3"	"M6PR"	"M6PR"	"SLC6A13"
"CCL26"	"CCL26"	"TMEM176A"	"CYP26B1"	"CYP26B1"	"AK2"	"KCNAB2"	"KCNAB2"	"SP140"	"CENPQ"	"CENPQ"	"AGPAT4"	"GCLM"	"GCLM"	"RPAP3"	"RPS20"	"RPS20"	"MEOX1"	"PSMB1"	"PSMB1"	"MEOX1"	"BRD9"	"BRD9"	"USP28"	"CYP26B1"	"CYP26B1"	"ERCC1"
"CDKL3"	"CDKL3"	"NDUFAF7"	"NDUFAF7"	"NDUFAF7"	"NDUFAB1"	"KCNN2"	"KCNN2"	"RNF13"	"PHF23"	"PHF23"	"SH2D2A"	"ABCF2"	"ABCF2"	"MAP3K14"	"ACP3"	"ACP3"	"QPCTL"	"MDH1"	"MDH1"	"CDKL5"	"MAP2K3"	"MAP2K3"	"PTCD2"	"RPAP3"	"RPAP3"	"NR1H4"
"SS18L2"	"SS18L2"	"MEOX1"	"ARF5"	"ARF5"	"SKAP2"	"LGALS1"	"LGALS1"	"C3orf18"	"ANAPC4"	"ANAPC4"	"HOXC8"	"ASTE1"	"ASTE1"	"PSMB1"	"UBR2"	"UBR2"	"MDH1"	"ATP2C1"	"ATP2C1"	"MGST1"	"FAM136A"	"FAM136A"	"EYA2"	"ACSM3"	"ACSM3"	"MDH1"
"IL32"	"IL32"	"RPAP3"	"POLDIP2"	"POLDIP2"	"LIG3"	"PDGFB"	"PDGFB"	"HMOX1"	"CUL1"	"CUL1"	"TLL1"	"TBC1D23"	"TBC1D23"	"MKS1"	"UBA6"	"UBA6"	"COX15"	"STAP1"	"STAP1"	"RPS20"	"GEMIN8"	"GEMIN8"	"MRPS34"	"RHBDD2"	"RHBDD2"	"GLRX2"
"RPS20"	"RPS20"	"ACSM3"	"RECQL"	"RECQL"	"CIAPIN1"	"GCDH"	"GCDH"	"PSME2"	"MTA3"	"MTA3"	"PNKP"	"PTCD2"	"PTCD2"	"COX15"	"GABARAPL2"	"GABARAPL2"	"ATP2C1"	"MCM10"	"MCM10"	"GABRA3"	"MAP4"	"MAP4"	"RAB7A"	"PSMB1"	"PSMB1"	"ANK1"
"FUZ"	"FUZ"	"GDE1"	"RPAP3"	"RPAP3"	"TMEM98"	"CPSF3"	"CPSF3"	"VSIG1"	"ADCK1"	"ADCK1"	"ROS1"	"JKAMP"	"JKAMP"	"FHL1"	"WNT8A"	"WNT8A"	"NLRP2"	"IARS2"	"IARS2"	"GABARAPL2"	"SMARCD1"	"SMARCD1"	"PTHLH"	"MED24"	"MED24"	"IARS2"
"ATP2C1"	"ATP2C1"	"MAP3K14"	"REXO5"	"REXO5"	"MAP3K14"	"MRM2"	"MRM2"	"FMR1"	"HDAC4"	"HDAC4"	"HDAC9"	"CDK14"	"CDK14"	"NCAPH2"	"VMP1"	"VMP1"	"GLRX2"	"HSD17B10"	"HSD17B10"	"ARHGEF5"	"FTSJ1"	"FTSJ1"	"GANAB"	"TTC27"	"TTC27"	"KCNAB2"
"RUFY3"	"RUFY3"	"ELAC2"	"RHBDD2"	"RHBDD2"	"USH1C"	"EMG1"	"EMG1"	"PIM2"	"MCM2"	"MCM2"	"RAD51"	"ERBB3"	"ERBB3"	"HOXC8"	"RNF4"	"RNF4"	"NCAPH2"	"SNRPA"	"SNRPA"	"CAMK2B"	"SNCB"	"SNCB"	"TGM1"	"FHL1"	"FHL1"	"ZXDC"
"SERPINB1"	"SERPINB1"	"MARK4"	"SPATA20"	"SPATA20"	"CEACAM21"	"SLC6A6"	"SLC6A6"	"CCL17"	"TUBA3D"	"TUBA3D"	"GINM1"	"GSTO2"	"GSTO2"	"PNKP"	"HIPK2"	"HIPK2"	"B4GALT7"	"ITM2A"	"ITM2A"	"VMP1"	"KIF3C"	"KIF3C"	"MRPS18A"	"PTCD2"	"PTCD2"	"RPS6KA6"
"NLRP2"	"NLRP2"	"PSMB1"	"CCL26"	"CCL26"	"GAS7"	"CCL21"	"CCL21"	"MPG"	"ARHGEF1"	"ARHGEF1"	"HPF1"	"IARS2"	"IARS2"	"AIFM2"	"SMARCD1"	"SMARCD1"	"ZZZ3"	"ITCH"	"ITCH"	"WDR3"	"CASS4"	"CASS4"	"MACROH2A2"	"ARHGEF5"	"ARHGEF5"	"PTGS2"
"RNH1"	"RNH1"	"MED24"	"CDKL3"	"CDKL3"	"SPAG9"	"ACVRL1"	"ACVRL1"	"CRYM"	"CXCL2"	"CXCL2"	"PHF21B"	"HDAC4"	"HDAC4"	"GUCA1A"	"PKM"	"PKM"	"AIFM2"	"ZNF343"	"ZNF343"	"CD84"	"ZNF343"	"ZNF343"	"CIRBP"	"SDCCAG8"	"SDCCAG8"	"FOSL2"
"GCLM"	"GCLM"	"IYD"	"MATK"	"MATK"	"ZNF207"	"IL2RG"	"IL2RG"	"VRK3"	"LPCAT2"	"LPCAT2"	"IL17RB"	"KCNAB2"	"KCNAB2"	"SDCCAG8"	"CFAP20"	"CFAP20"	"TBC1D22B"	"CDC23"	"CDC23"	"CACNB1"	"SPG21"	"SPG21"	"OSM"	"IL17RB"	"IL17RB"	"TPD52"
"FAM13B"	"FAM13B"	"ETV7"	"PSMB1"	"PSMB1"	"SLC6A13"	"IGSF1"	"IGSF1"	"ERF"	"EPB41L1"	"EPB41L1"	"DGKG"	"GBA2"	"GBA2"	"HPF1"	"EPHA8"	"EPHA8"	"LAPTM4A"	"CDC7"	"CDC7"	"PKM"	"PSMA6"	"PSMA6"	"CYB5R3"	"EYA2"	"EYA2"	"RARB"
"CENPQ"	"CENPQ"	"QPCTL"	"PLEKHG6"	"PLEKHG6"	"ANLN"	"LMNTD1"	"LMNTD1"	"GSDME"	"RBM41"	"RBM41"	"MRPS24"	"EPHA8"	"EPHA8"	"LIMCH1"	"MAP3K13"	"MAP3K13"	"KCNAB2"	"APMAP"	"APMAP"	"PDK3"	"AGFG2"	"AGFG2"	"RAB5IF"	"MTHFD2"	"MTHFD2"	"CPNE3"
"ASTE1"	"ASTE1"	"PGM3"	"CRY1"	"CRY1"	"CALCOCO1"	"SPRR2G"	"SPRR2G"	"HOXA1"	"CDC45"	"CDC45"	"FGFR3"	"MAP4K4"	"MAP4K4"	"EYA2"	"KEAP1"	"KEAP1"	"REXO2"	"PSMD7"	"PSMD7"	"RASGRP2"	"TLE4"	"TLE4"	"SPEF1"	"JMJD6"	"JMJD6"	"ERO1B"
"GABARAPL2"	"GABARAPL2"	"COX15"	"RPS20"	"RPS20"	"RALBP1"	"STK36"	"STK36"	"HBEGF"	"ASB2"	"ASB2"	"ZXDC"	"RPS6KA6"	"RPS6KA6"	"MTHFD2"	"TMED2"	"TMED2"	"ITCH"	"BCKDK"	"BCKDK"	"CSNK2A2"	"UBE2R2"	"UBE2R2"	"CELF4"	"NDST1"	"NDST1"	"SLC7A8"
"FAM136A"	"FAM136A"	"TTC27"	"ETV7"	"ETV7"	"RUFY3"	"SPACA9"	"SPACA9"	"EVA1A"	"XIAP"	"XIAP"	"VASH1"	"FGFR1"	"FGFR1"	"IP6K2"	"HUWE1"	"HUWE1"	"CLDND1"	"DECR1"	"DECR1"	"PICALM"	"CDKN1B"	"CDKN1B"	"MAN2B1"	"CYBRD1"	"CYBRD1"	"ECHDC1"
"STAP1"	"STAP1"	"OSBPL5"	"PIK3C2A"	"PIK3C2A"	"NLRP2"	"TRUB1"	"TRUB1"	"LRRC42"	"CAB39L"	"CAB39L"	"FAM50A"	"KCNN2"	"KCNN2"	"GAL"	"DPYSL2"	"DPYSL2"	"MGST2"	"CHRAC1"	"CHRAC1"	"KEAP1"	"HSPA9"	"HSPA9"	"RETN"	"LNX1"	"LNX1"	"SIRT1"
"RPL26L1"	"RPL26L1"	"FHL1"	"QPCTL"	"QPCTL"	"STRAP"	"SPATA19"	"SPATA19"	"IFI27L2"	"GDPD3"	"GDPD3"	"FNDC8"	"FCN1"	"FCN1"	"PFN2"	"YPEL1"	"YPEL1"	"CEACAM6"	"LIN7B"	"LIN7B"	"CTTN"	"NCBP2"	"NCBP2"	"HOXA1"	"MAP3K13"	"MAP3K13"	"CYTH4"
"AP2S1"	"AP2S1"	"NCAPH2"	"ALOX5"	"ALOX5"	"NR1H3"	"VANGL1"	"VANGL1"	"CENPL"	"HCFC1R1"	"HCFC1R1"	"PTGS2"	"CDC45"	"CDC45"	"JMJD6"	"LGALS1"	"LGALS1"	"PSMC5"	"TLE5"	"TLE5"	"SEPHS1"	"NEK11"	"NEK11"	"CPVL"	"MRPS34"	"MRPS34"	"PACSIN2"
"TRIT1"	"TRIT1"	"B4GALT7"	"DDX11"	"DDX11"	"CD44"	"OR3A1"	"OR3A1"	"NR2C1"	"EIF3E"	"EIF3E"	"JADE1"	"HNRNPH3"	"HNRNPH3"	"FAM50A"	"MCAT"	"MCAT"	"TFAP4"	"SLC1A6"	"SLC1A6"	"MRPL28"	"FOXP1"	"FOXP1"	"EPHB6"	"SPAG6"	"SPAG6"	"C14orf93"
"NOP16"	"NOP16"	"USP2"	"MDH1"	"MDH1"	"SH2D2A"	"MAB21L2"	"MAB21L2"	"RNF170"	"NAPA"	"NAPA"	"STX7"	"P2RX6"	"P2RX6"	"PTGS2"	"RASD2"	"RASD2"	"ABLIM1"	"SHD"	"SHD"	"PIGS"	"WIPF1"	"WIPF1"	"ZKSCAN1"	"SP140"	"SP140"	"YY1"
"PTCD2"	"PTCD2"	"HOXC8"	"COX15"	"COX15"	"SNX1"	"GKN2"	"GKN2"	"CDK2"	"SIGLEC6"	"SIGLEC6"	"RAB10"	"BCL2L13"	"BCL2L13"	"MYDGF"	"TRMU"	"TRMU"	"CIRBP"	"AGFG2"	"AGFG2"	"GNA11"	"UCHL5"	"UCHL5"	"URGCP"	"RFX3"	"RFX3"	"CD40"
"MAPK9"	"MAPK9"	"TLL1"	"ZMYND11"	"ZMYND11"	"FAM13B"	"TCEA1"	"TCEA1"	"ARPP19"	"GSK3A"	"GSK3A"	"ERO1B"	"LGALS1"	"LGALS1"	"UNG"	"CGRRF1"	"CGRRF1"	"SEC14L2"	"RIGI"	"RIGI"	"EDEM2"	"RRAGC"	"RRAGC"	"CA9"	"RNF13"	"RNF13"	"PSMD7"
"CUL1"	"CUL1"	"PNKP"	"FHL1"	"FHL1"	"ZCCHC8"	"HSH2D"	"HSH2D"	"GSTM3"	"ZKSCAN1"	"ZKSCAN1"	"MTMR2"	"PDGFB"	"PDGFB"	"PPP2R5C"	"AHSA1"	"AHSA1"	"JAG1"	"MAPK8"	"MAPK8"	"C3orf18"	"ENY2"	"ENY2"	"IL26"	"SF3B2"	"SF3B2"	"HAS3"
"USP36"	"USP36"	"PSMA4"	"RRAGD"	"RRAGD"	"MAP2K3"	"IRAK4"	"IRAK4"	"PPHLN1"	"BCCIP"	"BCCIP"	"REM1"	"IFT27"	"IFT27"	"SP140"	"CPNE6"	"CPNE6"	"LIPG"	"MAP2K6"	"MAP2K6"	"OTUB2"	"RAB38"	"RAB38"	"AICDA"	"C3orf18"	"C3orf18"	"ELOB"
"PHF21B"	"PHF21B"	"PARP3"	"TBPL1"	"TBPL1"	"TMSB10"	"DDX47"	"DDX47"	"SPRY2"	"GOSR2"	"GOSR2"	"DHX32"	"PPP1R16B"	"PPP1R16B"	"KEAP1"	"XIAP"	"XIAP"	"PSMD7"	"BST1"	"BST1"	"BLVRB"	"SPDEF"	"SPDEF"	"SUB1"	"RAPGEF4"	"RAPGEF4"	"FGL1"
"TBXAS1"	"TBXAS1"	"AIFM2"	"UBA6"	"UBA6"	"GABARAPL2"	"PFN2"		"BMPR1B"	"VWF"	"VWF"	"SRPK1"	"PSMD7"	"PSMD7"	"RFX3"	"RASL12"	"RASL12"	"AQP9"	"KIF20A"	"KIF20A"	"NANS"	"PPDPF"	"PPDPF"	"TARS1"	"HNRNPC"	"HNRNPC"	"ASAH1"
"RNF4"	"RNF4"	"MED17"	"PEX3"	"PEX3"	"FAM136A"	"JMJD6"		"TPM1"	"PSMD9"	"PSMD9"	"SIRT1"	"ELOB"	"ELOB"	"RNF13"	"GDAP1"	"GDAP1"	"TULP2"	"ZNF346"	"ZNF346"	"PACSIN2"	"IL37"	"IL37"	"MACROH2A1"	"PSMD5"	"PSMD5"	"CGB3"
"ERBB3"	"ERBB3"	"RETSAT"	"DEPDC1B"	"DEPDC1B"	"TBC1D23"	"SP140"		"RETREG3"	"GPN3"	"GPN3"	"ABLIM1"	"IL7"	"IL7"	"MTMR2"	"TLE6"	"TLE6"	"ECH1"	"RBP2"	"RBP2"	"APOBEC3H"	"GNG13"	"GNG13"	"EPB41L5"	"CYP26A1"	"CYP26A1"	"GCDH"
"GSTO2"	"GSTO2"	"GUCA1A"	"CUL3"	"CUL3"	"ZZZ3"	"RNF13"		"MAEL"	"CAND1"	"CAND1"	"PPP6R2"	"ARMC1"	"ARMC1"	"REM1"	"VRK3"	"VRK3"	"ERF"	"IL18RAP"	"IL18RAP"	"GINS1"	"IRF5"	"IRF5"	"GPX7"	"SMARCB1"	"SMARCB1"	"FUBP3"
"FAM107B"	"FAM107B"	"CELF2"	"USP2"	"USP2"	"RAI14"	"C3orf18"		"MRRF"	"PTPN6"	"PTPN6"	"CABP7"	"NFKBIB"	"NFKBIB"	"C3orf18"	"MEST"	"MEST"	"HOXA1"	"HPCAL1"	"HPCAL1"	"CD40"	"UCK1"	"UCK1"	"ARMC2"	"YPEL1"	"YPEL1"	"ATE1"
"STOML1"	"STOML1"	"ARHGEF5"	"HOXC8"	"HOXC8"	"PNKP"	"HMOX1"		"GBGT1"	"ULBP1"	"ULBP1"	"KIAA0930"	"GCDH"	"GCDH"	"NANS"	"BLVRA"	"BLVRA"	"GRB10"	"PLEKHA3"	"PLEKHA3"	"RAB5IF"	"RLIM"	"RLIM"	"MAPKAP1"	"TOP3B"	"TOP3B"	"ALDH3A1"
"RRP15"	"RRP15"	"AKR7A2"	"MAT2B"	"MAT2B"	"SPATA7"	"PSME2"		"CCNB2"	"PPWD1"	"PPWD1"	"HDAC10"	"MET"	"MET"	"HMOX1"	"FBXW4"	"FBXW4"	"CHCHD3"	"CRYGD"	"CRYGD"	"DIDO1"	"HSPBP1"	"HSPBP1"	"MRPS14"	"CYB5R3"	"CYB5R3"	"MAPK10"
"IARS2"	"IARS2"	"ANAPC4"	"PSMA4"	"PSMA4"	"LCP2"	"VSIG1"		"SPDYA"	"MACROH2A1"	"MACROH2A1"	"AP4S1"	"RNF32"	"RNF32"	"KIAA0930"	"RECQL5"	"RECQL5"	"YKT6"	"NEK6"	"NEK6"	"MAPRE1"	"GNAT2"	"GNAT2"	"SEC16B"	"HMOX1"	"HMOX1"	"JHY"
"ROCK1"	"ROCK1"	"SDCCAG8"	"TRIT1"	"TRIT1"	"CTNNA1"	"FMR1"		"NDUFB6"	"PRKAR2A"	"PRKAR2A"	"SRSF5"	"PDAP1"	"PDAP1"	"PSME2"	"RAB5C"	"RAB5C"	"CA9"	"RHOQ"	"RHOQ"	"USP14"	"ETS1"	"ETS1"	"BBS9"	"MCAT"	"MCAT"	"VWA5A"
"KCNAB2"	"KCNAB2"	"HPF1"	"PTCD2"	"PTCD2"	"EPHA3"	"PIM2"		"CASP7"	"IL1R1"	"IL1R1"	"ZFYVE21"	"AIMP2"	"AIMP2"	"RAB5IF"	"ALOX12"	"ALOX12"	"RIGI"	"GLIPR2"	"GLIPR2"	"SRPX"	"LMO2"	"LMO2"	"GIPC1"	"ZMAT5"	"ZMAT5"	"CHORDC1"
"ZXDC"	"ZXDC"	"IL17RB"	"JKAMP"	"JKAMP"	"DTNBP1"	"CCL17"		"TCP11L2"	"RRAGC"	"RRAGC"	"CCNB1IP1"	"FGF8"	"FGF8"	"ACOT8"	"KLHL2"	"KLHL2"	"MAP2K6"	"CISD1"	"CISD1"	"FLT1"	"DBNL"	"DBNL"	"MMP19"	"CDKL1"	"CDKL1"	"KCTD10"
"POLB"	"POLB"	"SLC2A3"	"LETMD1"	"LETMD1"	"SCML1"	"MPG"		"COPS2"	"NID1"	"NID1"	"CD40"	"CSF3"	"CSF3"	"CSTF2"	"NECTIN1"	"NECTIN1"	"VWA5A"	"VAPB"	"VAPB"	"MSLN"	"RALGPS1"	"RALGPS1"	"NRN1"	"ATP6V1D"	"ATP6V1D"	"MYF6"
"AP3M2"	"AP3M2"	"MED29"	"TRAPPC3"	"TRAPPC3"	"MAP4"	"CRYM"		"CDK12"	"RPS25"	"RPS25"	"RAB5IF"	"LRRC59"	"LRRC59"	"FMR1"	"CLEC2B"	"CLEC2B"	"DNAJC4"	"ARMC7"	"ARMC7"	"HAS3"	"TRMO"	"TRMO"	"GRK4"	"ZFYVE21"	"ZFYVE21"	"ELK3"
"CSNK2A2"	"CSNK2A2"	"LIMCH1"	"SDCCAG8"	"SDCCAG8"	"ROS1"	"VRK3"		"ZRSR2"	"NEK9"	"NEK9"	"PXMP4"	"KMT5B"	"KMT5B"	"PIM2"	"VNN1"	"VNN1"	"KCTD10"	"MKKS"	"MKKS"	"MPG"	"RTF1"	"RTF1"	"LAMP5"	"EMC9"	"EMC9"	"CMAS"
"EPHA8"	"EPHA8"	"EYA2"	"CBLN4"	"CBLN4"	"MAPK9"	"ERF"		"LIMS1"	"PCMT1"	"PCMT1"	"MAP1LC3A"	"MDK"	"MDK"	"CCL17"	"ITK"	"ITK"	"RSRC2"	"DYNLRB1"	"DYNLRB1"	"HOMER2"	"ARHGAP24"	"ARHGAP24"	"XRCC3"	"PSME2"	"PSME2"	"FGFR1OP2"
"MAP4K4"	"MAP4K4"	"ANKRD44"	"CDK17"	"CDK17"	"HOMER3"	"GSDME"		"PWWP2B"	"GPR31"	"GPR31"	"ACOT8"	"GPN3"	"GPN3"	"MPG"	"SUB1"	"SUB1"	"PRMT8"	"STRIP2"	"STRIP2"	"GSDMD"	"SOD1"	"SOD1"	"DNAJB9"	"TRPC4AP"	"TRPC4AP"	"FAM184A"
"RPL31"	"RPL31"	"TBC1D22B"	"GNA15"	"GNA15"	"FAM114A2"	"HOXA1"		"CNP"	"LYZL1"	"LYZL1"	"LIPG"	"IL26"	"IL26"	"CRYM"	"IL4"	"IL4"	"ALDH2"	"RAB2B"	"RAB2B"	"DCTN6"	"ENSA"	"ENSA"	"PIMREG"	"TRIB3"	"TRIB3"	"QKI"
"BUD23"	"BUD23"	"CDK13"	"MRPS35"	"MRPS35"	"SERPINB3"	"HBEGF"		"ARIH2"	"MYOT"	"MYOT"	"CCL22"	"IFNG"	"IFNG"	"NCALD"	"SKP1"	"SKP1"	"SPSB2"	"EPO"	"EPO"	"VRK3"	"INTS3"	"INTS3"	"MRPL34"	"PXMP4"	"PXMP4"	"DNPH1"
"RPS6KA6"	"RPS6KA6"	"MTHFD2"	"TNK2"	"TNK2"	"GDI2"	"EVA1A"		"CSRNP3"	"SERP1"	"SERP1"	"CCL17"	"CMAS"	"CMAS"	"ECH1"	"NRBP1"	"NRBP1"	"SMIM8"	"SLC6A6"	"SLC6A6"	"SIGLEC6"	"SNCA"	"SNCA"	"FBXW9"	"APMAP"	"APMAP"	"PFDN1"
"UBE2D1"	"UBE2D1"	"ELAVL1"	"DGAT2"	"DGAT2"	"RIOK2"	"LRRC42"		"PTGR3"	"FABP3"	"FABP3"	"SLC7A6OS"	"HDDC2"	"HDDC2"	"VRK3"	"IL1R1"	"IL1R1"	"ULBP1"	"NIP7"	"NIP7"	"HOXA1"	"SSBP2"	"SSBP2"	"DHX30"	"XIAP"	"XIAP"	"PFKFB4"
"DERL2"	"DERL2"	"IP6K2"	"MRPS24"	"MRPS24"	"MXD1"	"IFI27L2"		"RNF41"	"LRRC39"	"LRRC39"	"MPG"	"TMEM30A"	"TMEM30A"	"ICAM4"	"STK16"	"STK16"	"RBP2"	"CRP"	"CRP"	"RAB11FIP2"	"BOD1"	"BOD1"	"ALOX5AP"	"FMR1"	"FMR1"	"ACVR2B"
"ALPK1"	"ALPK1"	"RASGRP2"	"CCN5"	"CCN5"	"VMP1"	"CENPL"		"KCNIP4"	"SSPN"	"SSPN"	"HAGHL"	"VEGFA"	"VEGFA"	"COPE"	"AIRIM"	"AIRIM"	"GNAI2"	"IMPA1"	"IMPA1"	"MICU1"	"MCPH1"	"MCPH1"	"RPS15A"	"PIM2"	"PIM2"	"NEK4"
"FNDC8"	"FNDC8"	"GAL"	"EYA2"	"EYA2"	"MED29"	"NR2C1"		"SEPTIN10"	"CDK2"	"CDK2"	"GSDMD"	"ITK"	"ITK"	"PON3"	"HPCAL4"	"HPCAL4"	"UNC50"	"GSTM5"	"GSTM5"	"STN1"	"CCDC25"	"CCDC25"	"ORC3"	"SLC35A2"	"SLC35A2"	"PCSK4"
"LMAN1"	"LMAN1"	"PLA2G10"	"ADAT1"	"ADAT1"	"SNCAIP"	"RNF170"		"CD247"	"BAZ2B"	"BAZ2B"	"ASAH1"	"IL5"	"IL5"	"GSDME"	"IGSF21"	"IGSF21"	"MORN1"	"ROCK2"	"ROCK2"	"KLHL2"	"MED22"	"MED22"	"SERPINE2"	"STK24"	"STK24"	"DOK1"
"SRI"	"SRI"	"PFN2"	"PRKCQ"	"PRKCQ"	"MYLK"	"CDK2"		"AKT1S1"	"PARD6B"	"PARD6B"	"ECH1"	"SSR3"	"SSR3"	"HOXA1"	"RPS6KA1"	"RPS6KA1"	"MECR"	"SAA2"	"SAA2"	"KCTD10"	"ROM1"	"ROM1"	"AOAH"	"LYRM1"	"LYRM1"	"FBXO6"
"TPD52"	"TPD52"	"JMJD6"	"MTHFD2"	"MTHFD2"	"SNAP91"	"ARPP19"			"MCEE"	"MCEE"	"SARS2"	"NEK4"	"NEK4"	"GRB10"	"SPP1"	"SPP1"	"FBXO6"	"KLRD1"	"KLRD1"	"METAP2"	"CDC42EP2"	"CDC42EP2"	"TM6SF1"	"CYB5B"	"CYB5B"	"NCF2"
"NMRK2"	"NMRK2"	"NDST1"	"ELAVL1"	"ELAVL1"	"SLK"	"GSTM3"			"SNRPB2"	"SNRPB2"	"ASF1B"	"IL18RAP"	"IL18RAP"	"BLVRA"	"ACYP1"	"ACYP1"	"CDK18"	"TPGS2"	"TPGS2"	"MTRF1L"	"PITPNC1"	"PITPNC1"	"MMP13"	"MAN2B1"	"MAN2B1"	"ATP6V0B"
"FGFR1"	"FGFR1"	"CAMK2A"	"PDZD4"	"PDZD4"	"GSTO2"	"PPHLN1"			"PEX1"	"PEX1"	"TBCB"	"LGALS8"	"LGALS8"	"YKT6"	"PPP4R4"	"PPP4R4"	"ARMC2"	"CD36"	"CD36"	"FHL5"	"DPH3"	"DPH3"	"MFSD13A"	"VRK3"	"VRK3"	"MESD"
"MAP2"	"MAP2"	"WDR1"	"RASSF1"	"RASSF1"	"PDE4A"	"SPRY2"			"PTCD3"	"PTCD3"	"COPE"	"CPSF3"	"CPSF3"	"AMBP"	"SMNDC1"	"SMNDC1"	"LDAH"	"IL36G"	"IL36G"	"XRN1"	"AKNAD1"	"AKNAD1"	"CDK15"	"AURKC"	"AURKC"	"CA14"
"CBFA2T2"	"CBFA2T2"	"FAM50A"	"RASGRP2"	"RASGRP2"	"CD84"	"BMPR1B"			"CLEC10A"	"CLEC10A"	"CA9"	"HELLS"	"HELLS"	"PSMD11"	"CENPL"	"CENPL"	"TNFSF18"	"CCDC115"	"CCDC115"	"CEP15"	"CDC42EP3"	"CDC42EP3"	"ETFBKMT"	"CAPS"	"CAPS"	"CPSF3"
"BRINP1"	"BRINP1"	"CYBRD1"	"RAB27A"	"RAB27A"	"IDI1"	"TPM1"			"CSNK1G2"	"CSNK1G2"	"SFXN3"	"IFNA6"	"IFNA6"	"ANXA10"	"FABP3"	"FABP3"	"SOCS2"	"STXBP1"	"STXBP1"	"NCBP2"	"TRAT1"	"TRAT1"	"C18orf21"	"PON3"	"PON3"	"TEK"
"CLUL1"	"CLUL1"	"RDH11"	"PFN2"	"PFN2"	"PKM"	"RETREG3"			"GNAT2"	"GNAT2"	"RECQL5"	"SOHLH2"	"SOHLH2"	"HCFC2"	"EDN3"	"EDN3"	"SCPEP1"	"NCBP1"	"NCBP1"	"PECR"	"HPS3"	"HPS3"	"SRD5A1"	"GSDME"	"GSDME"	"MTRF1"
"KCNN2"	"KCNN2"	"MRPS34"	"FGF10"	"FGF10"	"RRP15"	"MAEL"			"C5AR2"	"C5AR2"	"ZNF330"	"EXOSC8"	"EXOSC8"	"MAPK14"	"NDP"	"NDP"	"GJB6"	"RANBP6"	"RANBP6"	"MECR"	"EMCN"	"EMCN"	"IL9"	"HOXA1"	"HOXA1"	"EXOSC8"
"RAB10"	"RAB10"	"MYDGF"	"NDST1"	"NDST1"	"IARS2"	"MRRF"			"ITM2C"	"ITM2C"	"CPZ"	"MND1"	"MND1"	"FAM120B"	"SERPINB6"	"SERPINB6"	"MRPS2"	"IDH1"	"IDH1"	"AIRIM"	"STK17A"	"STK17A"	"TRIM41"	"GRB10"	"GRB10"	"PAIP2"
"FCN1"	"FCN1"	"MARK3"	"RDH11"	"RDH11"	"IFI35"	"GBGT1"			"SCYL2"	"SCYL2"	"DNAJC4"	"SERAC1"	"SERAC1"	"HBEGF"	"IL37"	"IL37"	"GLIPR2"	"RITA1"	"RITA1"	"RIMS3"	"SKA3"	"SKA3"	"GBGT1"	"ABHD11"	"ABHD11"	"ARL1"
"CTTN"	"CTTN"	"UNG"	"PRKACA"	"PRKACA"	"GPKOW"	"CCNB2"			"YME1L1"	"YME1L1"	"DDX6"	"MRM2"	"MRM2"	"TARS1"	"AJUBA"	"AJUBA"	"SPATS2"	"RTN1"	"RTN1"	"HSD11B1"	"ABRAXAS2"	"ABRAXAS2"	"SURF2"	"ZKSCAN1"	"ZKSCAN1"	"LRAT"
"MAST2"	"MAST2"	"JADE1"	"ST6GAL1"	"ST6GAL1"	"NUP133"	"SPDYA"			"C9orf78"	"C9orf78"	"CORO1C"	"CISD1"	"CISD1"	"ARL6"	"GADD45G"	"GADD45G"	"CDK2"	"CPNE2"	"CPNE2"	"RSRP1"	"C19orf33"	"C19orf33"	"SESN3"	"SERPINE1"	"SERPINE1"	"ACVR2A"
"DIMT1"	"DIMT1"	"UBE2A"	"MRPS34"	"MRPS34"	"KCNAB2"	"NDUFB6"			"GMPR"	"GMPR"	"IL23A"	"PI3"	"PI3"	"PCCB"	"PGLS"	"PGLS"	"ENKD1"	"UTP4"	"UTP4"	"NSL1"	"UBTD2"	"UBTD2"	"MTMR12"	"MEST"	"MEST"	"SERAC1"
